station_id,complex_id,gtfs_stop_id,division,line,station_name,borough_name,daytime_routes,structure,north_direction_label,south_direction_label,station_lat,station_lon
163,611,A27,IND,8th Av - Fulton St,42 St - Port Authority Bus Terminal,Manhattan,A C E,Subway,Uptown - Queens,Downtown & Brooklyn,40.757308,-73.989735
164,164,A28,IND,8th Av - Fulton St,34 St - Penn Station,Manhattan,A C E,Subway,Uptown - Queens,Downtown & Brooklyn,40.752287,-73.993391
165,165,A30,IND,8th Av - Fulton St,23 St,Manhattan,C E,Subway,Uptown - Queens,Downtown & Brooklyn,40.745906,-73.998041
166,618,A31,IND,8th Av - Fulton St,14 St,Manhattan,A C E,Subway,Uptown - Queens,Downtown & Brooklyn,40.740893,-74.00169
167,167,D20,IND,6th Av - Culver,W 4 St,Manhattan,B D F M,Subway,Uptown - Queens,Downtown & Brooklyn,40.732338,-74.000495
167,167,A32,IND,8th Av - Fulton St,W 4 St,Manhattan,A C E,Subway,Uptown - Queens,Downtown & Brooklyn,40.732338,-74.000495
168,168,A33,IND,8th Av - Fulton St,Spring St,Manhattan,C E,Subway,Uptown - Queens,Downtown & Brooklyn,40.726227,-74.003739
169,169,A34,IND,8th Av - Fulton St,Canal St,Manhattan,A C E,Subway,Uptown - Queens,Downtown & Brooklyn,40.720824,-74.005229
170,624,A36,IND,8th Av - Fulton St,Chambers St,Manhattan,A C,Subway,Uptown,Downtown & Brooklyn,40.714111,-74.008585
171,624,E01,IND,8th Av - Fulton St,World Trade Center,Manhattan,E,Subway,Uptown & Queens,,40.712582,-74.009781
172,628,A38,IND,8th Av - Fulton St,Fulton St,Manhattan,A C,Subway,Uptown,Brooklyn,40.710197,-74.007691
173,173,A40,IND,8th Av - Fulton St,High St,Brooklyn,A C,Subway,Manhattan,Euclid - Lefferts - Rockaways,40.699337,-73.990531
174,636,A41,IND,8th Av - Fulton St,Jay St - MetroTech,Brooklyn,A C F,Subway,Manhattan,Euclid - Lefferts - Rockaways - Coney Island,40.692338,-73.987342
175,175,A42,IND,8th Av - Fulton St,Hoyt - Schermerhorn Sts,Brooklyn,A C G,Subway,Manhattan - Church Av,Euclid Av & Queens - Court Sq,40.688484,-73.985001
176,176,A43,IND,8th Av - Fulton St,Lafayette Av,Brooklyn,C,Subway,Manhattan,Euclid Av,40.686113,-73.973946
177,177,A44,IND,8th Av - Fulton St,Clinton - Washington Avs,Brooklyn,C,Subway,Manhattan,Euclid Av,40.683263,-73.965838
178,627,A45,IND,8th Av - Fulton St,Franklin Av,Brooklyn,C,Subway,Manhattan,Euclid Av,40.68138,-73.956848
179,179,A46,IND,8th Av - Fulton St,Nostrand Av,Brooklyn,A C,Subway,Manhattan,Euclid - Lefferts - Rockaways,40.680438,-73.950426
180,180,A47,IND,8th Av - Fulton St,Kingston - Throop Avs,Brooklyn,C,Subway,Manhattan,Euclid Av,40.679921,-73.940858
181,181,A48,IND,8th Av - Fulton St,Utica Av,Brooklyn,A C,Subway,Manhattan,Euclid - Lefferts - Rockaways,40.679364,-73.930729
182,182,A49,IND,8th Av - Fulton St,Ralph Av,Brooklyn,C,Subway,Manhattan,Euclid Av,40.678822,-73.920786
183,183,A50,IND,8th Av - Fulton St,Rockaway Av,Brooklyn,C,Subway,Manhattan,Euclid Av,40.67834,-73.911946
184,621,A51,IND,8th Av - Fulton St,Broadway Jct,Brooklyn,A C,Subway,Manhattan,Euclid - Lefferts - Rockaways,40.678334,-73.905316
185,185,A52,IND,8th Av - Fulton St,Liberty Av,Brooklyn,C,Subway,Manhattan,Euclid Av,40.674542,-73.896548
186,186,A53,IND,8th Av - Fulton St,Van Siclen Av,Brooklyn,C,Subway,Manhattan,Euclid Av,40.67271,-73.890358
187,187,A54,IND,8th Av - Fulton St,Shepherd Av,Brooklyn,C,Subway,Manhattan,Euclid Av,40.67413,-73.88075
188,188,A55,IND,8th Av - Fulton St,Euclid Av,Brooklyn,A C,Subway,Manhattan,Lefferts - Rockaways,40.675377,-73.872106
189,189,A57,IND,Liberty Av,Grant Av,Brooklyn,A,Subway,Manhattan,Lefferts - Rockaways,40.677044,-73.86505
190,190,A59,IND,Liberty Av,80 St,Queens,A,Elevated,Manhattan,Lefferts - Rockaways,40.679371,-73.858992
191,191,A60,IND,Liberty Av,88 St,Queens,A,Elevated,Manhattan,Lefferts - Rockaways,40.679843,-73.85147
192,192,A61,IND,Liberty Av,Rockaway Blvd,Queens,A,Elevated,Manhattan,Lefferts - Rockaways,40.680429,-73.843853
193,193,A63,IND,Liberty Av,104 St,Queens,A,Elevated,Manhattan,Lefferts Blvd,40.681711,-73.837683
194,194,A64,IND,Liberty Av,111 St,Queens,A,Elevated,Manhattan,Lefferts Blvd,40.684331,-73.832163
195,195,A65,IND,Liberty Av,Ozone Park - Lefferts Blvd,Queens,A,Elevated,Manhattan,,40.685951,-73.825798
196,196,H01,IND,Rockaway,Aqueduct Racetrack,Queens,A,At Grade,Manhattan,Rockaways,40.672097,-73.835919
197,197,H02,IND,Rockaway,Aqueduct - N Conduit Av,Queens,A,At Grade,Manhattan,Rockaways,40.668234,-73.834058
198,198,H03,IND,Rockaway,Howard Beach - JFK Airport,Queens,A,At Grade,Manhattan,Rockaways,40.660476,-73.830301
199,199,H04,IND,Rockaway,Broad Channel,Queens,A S,At Grade,Manhattan,Rockaways,40.608382,-73.815925
200,200,H12,IND,Rockaway,Beach 90 St,Queens,A S,Viaduct,Manhattan,Rockaway Park,40.588034,-73.813641
201,201,H13,IND,Rockaway,Beach 98 St,Queens,A S,Viaduct,Manhattan,Rockaway Park,40.585307,-73.820558
202,202,H14,IND,Rockaway,Beach 105 St,Queens,A S,Viaduct,Manhattan,Rockaway Park,40.583209,-73.827559
203,203,H15,IND,Rockaway,Rockaway Park - Beach 116 St,Queens,A S,At Grade,Manhattan,,40.580903,-73.835592
204,204,H06,IND,Rockaway,Beach 67 St,Queens,A,Viaduct,Manhattan,Far Rockaway,40.590927,-73.796924
